run,method,b,omega,residual
1,least_squares,0.18906714207992276,1.7574532219194763,0.007321610790400836
2,least_squares,0.18906714207992276,1.7574532219194763,0.007321610790400836
3,least_squares,0.18906714207992276,1.7574532219194763,0.007321610790400836
4,least_squares,0.18906714207992276,1.7574532219194763,0.007321610790400836
5,least_squares,0.18906714207992276,1.7574532219194763,0.007321610790400836
6,least_squares,0.18906714207992276,1.7574532219194763,0.007321610790400836
7,least_squares,0.18906714207992276,1.7574532219194763,0.007321610790400836
8,least_squares,0.18906714207992276,1.7574532219194763,0.007321610790400836
9,least_squares,0.18906714207992276,1.7574532219194763,0.007321610790400836
10,least_squares,0.18906714207992276,1.7574532219194763,0.007321610790400836
11,least_squares,0.18906714207992276,1.7574532219194763,0.007321610790400836
12,least_squares,0.18906714207992276,1.7574532219194763,0.007321610790400836
