run,method,b,omega,residual
1,QI_DE,0.17668719756848814,1.6573482609752264,0.27705988828355765
2,QI_DE,0.18911610061973957,1.7583309944557166,0.008652452163983778
3,QI_DE,0.18962873206496406,1.7571028851416832,0.007332642035483171
4,QI_DE,0.18905631467715533,1.7574573481580091,0.007321611990217738
5,QI_DE,0.18906674578740645,1.7574532185286922,0.007321610793140585
6,QI_DE,0.18913629546422056,1.7574646865139152,0.0073218291046670365
7,QI_DE,0.18906548570575643,1.7574562569236707,0.007321611031305778
8,QI_DE,0.1891854798848725,1.7575093824899948,0.007321846855200088
9,QI_DE,3.451548778373517,3.171825388024285,1.2856653495400001
10,QI_DE,0.21679296038958917,1.8523470410266591,0.17458902250027752
11,QI_DE,0.18906624588617804,1.757453281003955,0.007321610821173097
12,QI_DE,0.18910066753954782,1.7574648308943919,0.007321630901958398
