run,method,b,omega,residual
1,leastsq,0.18906750582699972,1.7574529443262301,0.007321610792037126
2,leastsq,0.18906750582699972,1.7574529443262301,0.007321610792037126
3,leastsq,0.18906750582699972,1.7574529443262301,0.007321610792037126
4,leastsq,0.18906750582699972,1.7574529443262301,0.007321610792037126
5,leastsq,0.18906750582699972,1.7574529443262301,0.007321610792037126
6,leastsq,0.18906750582699972,1.7574529443262301,0.007321610792037126
7,leastsq,0.18906750582699972,1.7574529443262301,0.007321610792037126
8,leastsq,0.18906750582699972,1.7574529443262301,0.007321610792037126
9,leastsq,0.18906750582699972,1.7574529443262301,0.007321610792037126
10,leastsq,0.18906750582699972,1.7574529443262301,0.007321610792037126
